Year,artist_link,Descrição,Fonte de Pesquisa,Error,Type,Século,Artist,Título,url,Década,img_url,Technique,Height (cm),Width (cm),Price (BRL),Price (USD),Technique_fix,Sold,Year of sale
1950.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,,Bolsa de Arte do Rio de Janeiro,False,Pinturas,20.0,Vicente do Rego Monteiro,Livro Aberto,https://www.catalogodasartes.com.br/obra/DUGc/,50.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1428.jpg,Óleo sobre cartão,38.0,46.0,38850.0,35318.18,pintura,True,1997
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Paisagem - óleo sobre madeira - medindo 26x31cm.- assinado no canto inferior direito. (Reproduzido no raisonee do artista, vol. II, pág.374, figura 1815 FCO3026). - Texto transcrito do catálogo do leilão.",Leilão Pro Arte 10 de Novembro de 2014,False,Pinturas,,Candido Portinari,Paisagem,https://www.catalogodasartes.com.br/obra/DBUzDe/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_154310.jpg,Óleo sobre madeira,31.0,26.0,850000.0,330739.3,pintura,False,2014
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Victor Vasarely Sem Título 70 x 70 cm serigrafia sobre papel assinatura inf. dir. Exemplar nº 19/250. - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$2.000,00",Leilão James Lisboa 28 a 30 de Outubro de 2019,False,Pinturas,,Victor Vasarely,Sem título,https://www.catalogodasartes.com.br/obra/PGtcBU/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_926854.jpg,Serigrafia sobre papel,70.0,70.0,2600.0,650.0,reprodução,True,2019
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Esta obra entrou em pregão com o lance inicial de R$1.500,00. - 111/200",Leilão Bel Galeria Agosto de 2011,False,Esculturas/Objetos,,Victor Vasarely,Zebra,https://www.catalogodasartes.com.br/obra/tDzzt/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_61336.jpg,Acrílico,10.0,10.0,2000.0,1204.82,pintura,True,2011
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"S/T - acetatos montados em caixa de acrílico - edição de Werner Spies e Editora Harry Abrams, New York - 30x23x5 cm. - Texto transcrito do catálogo do leilão.",Leilão Cia Paulista 06 de Julho de 2015,False,Esculturas/Objetos,,Victor Vasarely,Sem Título,https://www.catalogodasartes.com.br/obra/DAeeet/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_170006.jpg,VER DETALHES,23.0,30.0,1500.0,480.77,outro,False,2015
1974.0,https://www.catalogodasartes.com.br/cotacao/artista/Dario%20Mecatti%20-%20D.%20Mecatti%20-%20D.%20Mecati/,,Pro Arte,False,Pinturas,20.0,Dario Mecatti,Vila Italiana,https://www.catalogodasartes.com.br/obra/GtBc/,70.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2658.jpg,Óleo sobre Tela,40.0,100.0,7000.0,3500.0,pintura,False,2007
1962.0,https://www.catalogodasartes.com.br/cotacao/artista/Ivan%20Serpa/,"nanquim e aguada s/ papel, ass. e dat. 18/04/1962 inf. dir. Parte da coleção de 54 trabalhos em guaches e nanquins reunidos em dois livros posteriormente desmembrados. ex-coleção Erymá Carneiro",Soraia Cals Escritório de Arte,False,Pinturas,20.0,Ivan Serpa,s/t,https://www.catalogodasartes.com.br/obra/UBU/,60.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_454.jpg,Nanquim e aguada sobre papel,21.0,27.0,5000.0,2262.44,desenho,True,2007
1986.0,https://www.catalogodasartes.com.br/cotacao/artista/Armando%20Romanelli%20-%20Armando%20Romanelli%20de%20Cerqueira/,,Soraia Cals Escritório de Arte,False,Pinturas,20.0,Armando Romanelli,Pólo,https://www.catalogodasartes.com.br/obra/tPG/,80.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_692.jpg,Óleo sobre Tela,70.0,100.0,6000.0,2714.93,pintura,True,2007
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Serigrafia assinada a lápis pelo artista, acid, MI 21 x 21cm. ME 42 x 35cm. Com moldura 51 x 45cm. Tiragem E.A-VI. - Texto transcrito do catálogo do leilão.",Roberto Magalhaes Gouveia 28 de Abril de 2015,False,Pinturas,,Victor Vasarely,Sem Titulo,https://www.catalogodasartes.com.br/obra/DtzPeD/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_163901.jpg,Serigrafia,45.0,51.0,1600.0,547.95,reprodução,False,2015
1960.0,https://www.catalogodasartes.com.br/cotacao/artista/Manoel%20Santiago%20-%20Manuel%20Santiago/,a.c.i.e. - Reproduzido no livro do artista pag. 193.,Renot,False,Pinturas,20.0,Manoel Santiago,Botequim (Teresópolis,https://www.catalogodasartes.com.br/obra/Decz/,60.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1083.jpg,Óleo sobre placa,19.0,26.0,3500.0,1590.91,pintura,False,2007
