Contemporâneo,Figurativo,Pop,Moderno,Conceitual,Abstrato,Retrato,Surrealista,Outro Tema,Paisagem,Natureza,Clássico,Realista,Minimalista,Expressionista,Vintage,Streetart,Impressionista,Pintura,Gravura,Técnica Mista,Outra Técnica,Desenho,Escultura,Fotografia,Livro,Colorido,Monocromático,Size,Price,Artist,Title,Image_Url,Marketplace
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,10050.0,6500.0,Jorge Ismael,03,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/15809/aQEV2CiFceSSaMsHkvHlVm10062022190342.webp,Artsoul
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,400.0,1000.0,Helena Freddi,da série Pequenos Vícios,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/6090/kC2Jw4VyPsLjJtqBC3JMKx23032022073627.webp,Artsoul
True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,6600.0,8000.0,Mario Baptista,Peregrino,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/806/8K6vl7t1jKIRlCEhEIIbgm22032022222218.webp,Artsoul
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,432.0,1050.0,Gabriel Kozlowski Aragão,Pessoas 2,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/16668/RlOWIQWWakKCZ5saFHrg2720112022161009.webp,Artsoul
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,2400.0,1800.0,Tarciso de Lima,SYMMETRY,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/15205/tDs4ZmPwqfcOnwx4oyEXWz24032022164501.webp,Artsoul
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6519.0,15000.0,Paulo Vainer,Dual #3,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/2900/NDaxKZC7I7qWo5t9fOBWSi23032022022809.webp,Artsoul
True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,9600.0,8800.0,Mario Baptista,Auditório Niemeyer,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17624/PAh0x6FY0SCDRfceXKFMTX14062023201455.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,9600.0,7000.0,Gabriel Wickbold,Off Series #1,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/2350/Rv425EeXhuHwNBfbd3Dvjy23032022014316.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,5985.0,4000.0,Grazi Azevedo,Luzes Urbanas 1,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4233/Qv6vn3w0uQ8vDo20VFe8WV26102022113513.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,3000.0,3500.0,Gabriel Nehemy,Ferrugem Unlimited 4,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/16787/2TKvO7kIJTbqWgt43DA39B29112022124554.webp,Artsoul
